,Fiscal Year,Cassini,CONTOUR,DART,Dawn,Deep Impact,Deep Space 1,Europa Clipper,Galileo,Genesis,GRAIL,InSight,Juno,LADEE,Lucy,Lunar Orbiter,Lunar Prospector,Lunar Ranger,Lunar Surveyor,Magellan,Mariner 1 & 2,Mariner 3 & 4,Mariner 5,Mariner 6 & 7,Mariner 8 & 9,Mariner 10,Mars Perseverance,Mars Observer,Mars Odyssey*,Mars Pathfinder,MAVEN,MESSENGER,MER,MGS,MOMA,MPL/MCO,MRO,MSL Curiosity,NEAR,New Horizons,OSIRIS-REx,Phoenix,Pioneer 10 & 11,Pioneer Venus,Psyche,Stardust,Viking,VIPER,Voyager
development + launch,,"$1,812.6",$143.2,$298.9,$373.0,$333.3,$145.2,"$3,612.8",$885.2,$211.7,$448.7,$759.7,$928.7,$267.1,$708.9,$197.5,$56.6,$241.6,$575.0,$463.2,$20.9,$79.7,$26.4,$123.0,$134.8,$111.6,"$2,462.6",$687.0,$218.0,$247.6,$553.8,$353.6,$816.5,$183.3,$129.5,$279.7,$546.1,"$2,419.3",$168.4,$565.7,$811.5,$407.4,$101.9,$195.8,$789.8,$167.2,$953.9,$615.9,$336.6
operations,,"$1,400.0",$0.0,$16.5,$129.1,$64.0,$25.1,$718.2,$574.3,$50.0,$39.8,$57.3,$310.4,$8.5,$280.2,$3.0,$7.3,,,$165.5,,,,,$26.6,$8.9,$294.1,$21.2,$238.8,$14.7,$176.1,$172.6,$263.3,$100.3,$10.9,$16.3,$515.6,$545.4,$61.9,$275.8,$166.9,$12.6,$72.8,$82.2,$170.8,$70.3,$104.0,$17.20,$456.5
total,,"$3,212.5",$143.2,$311.4,$502.1,$397.3,$170.3,"$4,331.0","$1,459.5",$261.7,$488.5,$817.0,"$1,239.1",$275.6,$989.1,$200.5,$63.9,$241.6,$575.0,$628.7,$20.9,$79.7,$26.4,$123.0,$161.4,$120.5,"$2,696.7",$708.2,$456.8,$262.3,$729.9,$526.2,"$1,079.8",$283.6,$140.4,$296.0,"$1,061.7","$2,964.7",$230.3,$841.5,$978.4,$420.0,$174.7,$278.0,$960.6,$237.5,"$1,057.9",$633.1,$793.1
,1960,,,,,,,,,,,,,,,,,$19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1961,,,,,,,,,,,,,,,,,$45.1,$7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1962,,,,,,,,,,,,,,,,,$63.4,$36.8,,$13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1963,,,,,,,,,,,,,,,$4.0,,$71.3,$66.4,,$7.7,$31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1964,,,,,,,,,,,,,,,$20.0,,$30.3,$102.7,,,$28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1965,,,,,,,,,,,,,,,$58.6,,$11.0,$121.9,,,$16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1966,,,,,,,,,,,,,,,$72.6,,$1.0,$119.6,,,$2.3,$10.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,1967,,,,,,,,,,,,,,,$35.3,,,$87.5,,,$1.0,$12.1,$30.1,,,,,,,,,,,,,,,,,,,,,,,,,
,1968,,,,,,,,,,,,,,,$10.0,,,$33.0,,,,$3.4,$62.9,,,,,,,,,,,,,,,,,,,,,,,,,
,1969,,,,,,,,,,,,,,,,,,,,,,,$26.1,$31.6,,,,,,,,,,,,,,,,,,$6.0,,,,$12.4,,
,1970,,,,,,,,,,,,,,,,,,,,,,,$3.7,$68.5,$0.9,,,,,,,,,,,,,,,,,$22.6,,,,$40.2,,
,1971,,,,,,,,,,,,,,,,,,,,,,,$0.2,$31.3,$13.4,,,,,,,,,,,,,,,,,$56.5,,,,$41.1,,
,1972,,,,,,,,,,,,,,,,,,,,,,,,$17.0,$52.4,,,,,,,,,,,,,,,,,$19.0,,,,$186.3,,$9.2
,1973,,,,,,,,,,,,,,,,,,,,,,,,$7.2,$37.3,,,,,,,,,,,,,,,,,$2.7,,,,$265.2,,$6.1
,1974,,,,,,,,,,,,,,,,,,,,,,,,,$11.2,,,,,,,,,,,,,,,,,$5.3,,,,$313.4,,$46.6
,1975,,,,,,,,,,,,,,,,,,,,,,,,,$5.3,,,,,,,,,,,,,,,,,$4.9,$27.3,,,$95.2,,$77.0
,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$3.6,$63.0,,,$39.5,,$112.6
