Formulation Start (Fiscal Year),Launch Date (Fiscal Year),Fiscal Years of Development (inclusive),Launch Date,Mission,Program Line,Launch Vehicle,LV Cost (2020),Type,,Decadal Periods,Launches,Avg dev time (FYs),Avg Launch Cost (2020 $)
1998,2001,4,8/8/2001,Genesis,Discovery,Delta II,$80.5,Solar Wind Sample Return,,,,,
1999,2002,4,7/3/2002,CONTOUR,Discovery,Delta II,$76.7,Attempted fly-by of three Comet Nuclei,,,,,
2000,2003,4,6/10/2003,Spirit (MER-A),MEP,Delta II,$77,Mars Rover,,,,,
2000,2003,4,7/8/2003,Opportunity (MER-B),MEP,Delta II,$77,Mars Rover,,,,,
1999,2004,6,8/3/2004,MESSENGER,Discovery,Delta II,$105,Mercury Orbiter,,,,,
1999,2005,7,1/12/2005,Deep Impact,Discovery,Delta II,$84.1,Comet Rendezvous and Impact,,,,,
2001,2005,5,8/12/2005,Mars Reconnaisance Orbiter,MEP,Atlas V 401,$131,Mars Orbiter,,,,,
2001,2006,6,1/19/2006,New Horizons,New Frontiers,Atlas V 551,$257.1,Pluto/Charon and Kuiper Belt Flyby,,,,,
2003,2007,5,8/4/2007,Phoenix,MEP,Delta II,$118.0,Small Mars Scout Lander,,,,,
2002,2007,6,9/27/2007,Dawn,Discovery,Delta II,$134,Asteroid Ceres and Vesta Orbiter,,,,,
2005,2011,7,8/5/2011,Juno,New Frontiers,Atlas V 551,$234,Jupiter Orbiter,,,,,
2007,2011,5,9/10/2011,GRAIL,Discovery,Delta II Heavy,$180.4,Lunar Orbiter,,,,,
2002,2012,11,11/26/2011,MSL Curiosity,Flagship,Atlas V 541,$258.4,Mars Rover,,,,,
2008,2013,6,9/6/2013,LADEE,Lunar Quest,Minotaur,$70.0,Lunar Orbiter,,,,,
2007,2014,8,11/18/2013,MAVEN,MEP,Atlas V 411,$220,Mars Scout Mission Orbiter,,,,,
2011,2016,6,9/8/2016,OSIRIS-REx,New Frontiers,Atlas V 411,$210.3,Sample Return Mission to Asteroid Bennu,,,,,
2011,2018,8,5/5/2018,InSight,Discovery,Atlas V 401,$189,Mars Lander,,,,,
2013,2020,8,7/20/2020,Perseverance,Flagship,Atlas V 541,$264.1,Mars rover,,,,,
2015,2025,11,2025,Europa Clipper,Flagship,Falcon Heavy,$178,Jupiter Orbiter/Europa Flyby,,,,,
2016,2021,6,7/1/2021,DART,Planetary Defense,Falcon 9,$70.2,Planetary defense test,,,,,
2016,2021,6,10/1/2021,Lucy,Discovery,Atlas V 401,$152.4,Trojan asteroids flybys,,,,,
2016,2022,7,8/1/2022,Psyche,Discovery,Falcon Heavy,$113,Main Belt Asteroid Orbiter,,,,,
2019,2024,6,11/1/2023,VIPER,LDEP,Falcon 9/CLPS,,Lunar lander,,,,,
