Cassini,CONTOUR,DART,Dawn,Deep Impact,Deep Space 1,Europa Clipper,Galileo,Genesis,GRAIL,InSight,Juno,LADEE,Lucy,Lunar Orbiter,Lunar Prospector,Lunar Ranger,Lunar Surveyor,Magellan,Mariner Program,Mars Perseverance,Mars Observer,Mars Odyssey*,Mars Pathfinder,MAVEN,MESSENGER,MER,MGS,MOMA,MPL and MCO,MRO,MSL Curiosity,NEAR,New Horizons,OSIRIS-REx,Phoenix,Pioneer 10 & 11,Pioneer Venus,Psyche,Stardust,Viking,VIPER,Voyager,Apollo
5333.6,818.7,316.68,657.92,575.33,290.76,3124.46,3746.68,415.56,585.45,901.78,1456.87,1210.55,744.46,2091.17,111.42,2903.94,6185.08,1518.86,6120,2820.96,1750.17,970.9,486.01,831.08,629.33,1572.97,498.79,157.79,510.09,1343.48,1809.97,420.06,1119.04,265.62,559.92,1060.72,1237,798.5,389.5,7038.9,301.7,2993.5,256929
3212.5,143.2,320.5,502.1,397.3,170.3,4331,1459.5,261.7,488.5,817,1239.1,275.6,989.1,200.5,63.9,241.6,575,628.7,655,2696.7,708.2,456.8,262.3,729.9,526.2,1079.8,283.6,140.4,296,1061.7,2964.7,230.3,841.5,978.4,420,174.7,278,960.6,237.5,1057.9,633.1,793.1,25774
